sample,expID,CollectionID,SideID,site_name,type,lat,long,trench,province,rock_type,new_water_type,alt,temp,ph,spc,sal,do,orp,alk,fe2,si,dic,dic_d13,d18o,d2h,co2,s,he,h2,o2,ar,n2,ch4,co,ch4_d13,co2_d13,ng_phase,he4,r_ra,rc_ra,X,he4_ne20,co2_3he,co2_4he,na,nh4,k,mg,ca,cl,no2,br,no3,po4,so4,h2s,V,Mn,Fe,Co,Ni,Cu,Mo,W,Zn
ARG19_AO_F,ARG19,AO100224,AO,Antuco,F,-24.182136,-66.674029,514.7,Backarc,Vulc,Mature,4231,27.8,6.25,33411,21.21,90,NA,NA,NA,1.02,5.45,-7.66,-3.31,-66.14,989.5759,0,0.006459,0.004705,0.101874,0.111563,10.11229,0.117478,0,NA,-9.91004,w,0.00000124,1.96,1.96,313.2,99.8,51800000000,142119.0162,5162.897,11.908,603.767,154.893,414.141,9367548,NA,8742,NA,NA,817.08,0.012583013,,,,,,,,,
ARG19_AO_S,ARG19,AO100224,AO,Antuco,S,-24.182136,-66.674029,514.7,Backarc,Vulc,Mature,4231,27.8,6.25,33411,21.21,90,NA,NA,NA,1.02,5.45,-7.66,-3.31,-66.14,989.5759,0,0.006459,0.004705,0.101874,0.111563,10.11229,0.117478,0,NA,-9.91004,w,0.00000124,1.96,1.96,313.2,99.8,51800000000,142119.0162,5162.897,11.908,603.767,154.893,414.141,9367548,NA,8742,NA,NA,817.08,0.012583013,,,,,,,,,
ARG19_BJ_F,ARG19,BJ190227,BJ,Botijuela,F,-25.743034,-67.823245,409.9,Backarc,Vulc,Volcanic,3524,40,6.44,14643,8.65,10,NA,NA,NA,0.67,15.92,NA,NA,NA,979.515,0,0.050518,0.019565,1.963554,0.633852,17.45857,0.358919,0,NA,-4.59,w,0.00000482,1.24,1.24,202.5,64.5,10800000000,18670.2436,1507.994,0.641,84.113,21.881,86.806,1590755,NA,NA,NA,NA,826466,0.012583013,1.31,176.955,202.16,0.215,2.635,0.835,11.145,23.845,-20.575
ARG19_BJ_S,ARG19,BJ190227,BJ,Botijuela,S,-25.743034,-67.823245,409.9,Backarc,Vulc,Volcanic,3524,40,6.44,14643,8.65,10,NA,NA,NA,0.67,15.92,NA,NA,NA,979.515,0,0.050518,0.019565,1.963554,0.633852,17.45857,0.358919,0,NA,-4.59,w,0.00000482,1.24,1.24,202.5,64.5,10800000000,18670.2436,1507.994,0.641,84.113,21.881,86.806,1590755,NA,NA,NA,NA,826466,0.012583013,1.31,176.955,202.16,0.215,2.635,0.835,11.145,23.845,-20.575
ARG19_GA_F,ARG19,GA190226,GA,Galán Aguas Calientes,F,-25.825416,-66.922496,507.2,Backarc,Vulc,Mature,4482,67,6.7,6012,3.28,10,NA,NA,NA,1.8,6.26,-1.5,-6.21,-52.48,952.8512,0,0.102306,0.031694,5.762056,1.228836,39.97707,0.001436,0,NA,-9.37034,w,0.0000108,1.56,1.56,556.7,177.3,4640000000,10109.60446,533.295,0.088,10.263,1.122,16.084,647319,NA,1093,NA,NA,28548,0.016078294,5.6,98.465,35.535,0.04,4.425,0.855,-1.33,234.87,-33.555
ARG19_GA_S,ARG19,GA190226,GA,Galán Aguas Calientes,S,-25.825416,-66.922496,507.2,Backarc,Vulc,Mature,4482,67,6.7,6012,3.28,10,NA,NA,NA,1.8,6.26,-1.5,-6.21,-52.48,952.8512,0,0.102306,0.031694,5.762056,1.228836,39.97707,0.001436,0,NA,-9.37034,w,0.0000108,1.56,1.56,556.7,177.3,4640000000,10109.60446,533.295,0.088,10.263,1.122,16.084,647319,NA,1093,NA,NA,28548,0.016078294,5.6,98.465,35.535,0.04,4.425,0.855,-1.33,234.87,-33.555
ARG19_GF1_F,ARG19,GF190226_1,GF1,Galán Fumaroles (El Diablo),F,-25.858188,-66.992695,500.1,Backarc,Vulc,Volcanic,4644,80,7.75,429,0.19,10,NA,NA,NA,NA,0.34,-14.81,-5.89,-50.62,882.5666,0.678163,0.07826,0.16505,16.05005,1.135054,99.27651,0.001677,0,NA,NA,g,0.000025,1.77,1.77,621.2,197.9,4470000000,11061.94135,12.385,20.666,2.928,0.997,3.655,14725,NA,NA,16,NA,69616,0.009087732,0.26,68.52,551.25,0.97,4.56,0.92,22.55,64.43,-33.37
ARG19_GF1_S,ARG19,GF190226_1,GF1,Galán Fumaroles (El Diablo),S,-25.858188,-66.992695,500.1,Backarc,Vulc,Volcanic,4644,80,7.75,429,0.19,10,NA,NA,NA,NA,0.34,-14.81,-5.89,-50.62,882.5666,0.678163,0.07826,0.16505,16.05005,1.135054,99.27651,0.001677,0,NA,NA,g,0.000025,1.77,1.77,621.2,197.9,4470000000,11061.94135,12.385,20.666,2.928,0.997,3.655,14725,NA,NA,16,NA,69616,0.009087732,0.26,68.52,551.25,0.97,4.56,0.92,22.55,64.43,-33.37
ARG19_GF2_F,ARG19,GF190226_2,GF2,Galán Fumaroles (El Diablo),F,-25.858243,-66.992818,500.1,Backarc,Vulc,Volcanic,4651,80,3.21,2050,1.02,60,NA,NA,NA,1.18,0.48,-12.4,NA,NA,909.9537,0.593586,0.019997,0.003758,14.655,0.882777,73.88588,0.005293,0,NA,-6.15583,g,0.0000289,1.79,1.79,683.4,217.7,18000000000,45152.73025,23.864,82.895,10.417,4.335,21.206,50849,NA,NA,125,NA,337.95,0.023068857,0.59,410.705,17418.01,13.165,8.335,9.525,10.81,34.43,5.955
ARG19_GF2_S,ARG19,GF190226_2,GF2,Galán Fumaroles (El Diablo),S,-25.858243,-66.992818,500.1,Backarc,Vulc,Volcanic,4651,80,3.21,2050,1.02,60,NA,NA,NA,1.18,0.48,-12.4,NA,NA,909.9537,0.593586,0.019997,0.003758,14.655,0.882777,73.88588,0.005293,0,NA,-6.15583,g,0.0000289,1.79,1.79,683.4,217.7,18000000000,45152.73025,23.864,82.895,10.417,4.335,21.206,50849,NA,NA,125,NA,337.95,0.023068857,0.59,410.705,17418.01,13.165,8.335,9.525,10.81,34.43,5.955
ARG19_IN_F,ARG19,IN190223,IN,Incachule,F,-24.282129,-66.466761,538,Backarc,Vulc,NA,4470,46.9,6.52,3000,1.54,10,NA,NA,NA,1.55,NA,NA,-9.97,-73.18,621.1889,0.238156,0.231968,0.00137,1.388626,1.735896,372.554,0.117358,0,NA,-12.0039,g,0.0000309,1.97,1.97,335,106.7,899000000,2477.220386,424.45,1.185,31.494,4.838,25.89,350283,NA,592,88,NA,47347,0.023068857,24.57,114.155,147.4,0.29,0.345,0.58,5.66,0.555,-15.415
ARG19_IN_S,ARG19,IN190223,IN,Incachule,S,-24.282129,-66.466761,538,Backarc,Vulc,NA,4470,46.9,6.52,3000,1.54,10,NA,NA,NA,1.55,NA,NA,-9.97,-73.18,621.1889,0.238156,0.231968,0.00137,1.388626,1.735896,372.554,0.117358,0,NA,-12.0039,g,0.0000309,1.97,1.97,335,106.7,899000000,2477.220386,424.45,1.185,31.494,4.838,25.89,350283,NA,592,88,NA,47347,0.023068857,24.57,114.155,147.4,0.29,0.345,0.58,5.66,0.555,-15.415
ARG19_LC_F,ARG19,LC190226,LC,Galán La Colcha,F,-26.032911,-66.986094,503.1,Backarc,Vulc,Mature,4728,84,6.94,10618,6.1,20,NA,NA,NA,2.53,6.82,-2.62,-5.59,-49.19,979.3897,0.042852,0.087992,0.000155,0.220945,0.329835,19.87218,0.056378,0,NA,-7.46285,g,0.00000324,2.58,2.58,1712.8,545.6,2860000000,10335.14355,915.171,1.019,50.995,0.638,35.836,1179351,NA,NA,NA,932,25336,0.00559245,1.24,173.665,10.91,0.045,25.42,38.08,-1.81,0.13,65.675
