,function,multi_metal
cobalt_copper_zinc,multi_metal_transporte,cobalt_copper_zinc
cobalt_iron_copper_nickel_zinc,multi_metal_transporte,cobalt_iron_copper_nickel_zinc
cobalt_iron_manganese,multi_metal_transporte,cobalt_iron_manganese
cobalt_iron_zinc,multi_metal_transporte,cobalt_iron_zinc
cobalt_magnesium,multi_metal_transporte,cobalt_magnesium
cobalt_nickel,multi_metal_transporte,cobalt_nickel
cobalt_nickel_magnesium,multi_metal_transporte,cobalt_nickel_magnesium
cobalt_nickel_zinc,multi_metal_transporte,cobalt_nickel_zinc
cobalt_zinc,multi_metal_transporte,cobalt_zinc
cobalt_zinc_magnesium,multi_metal_transporte,cobalt_zinc_magnesium
copper_manganese,multi_metal_transporte,copper_manganese
iron_copper_zinc,multi_metal_transporte,iron_copper_zinc
iron_manganese_zinc,multi_metal_transporte,iron_manganese_zinc
iron_nickel_zinc,multi_metal_transporte,iron_nickel_zinc
iron_zinc,multi_metal_transporte,iron_zinc
tungstate_molybdate,multi_metal_transporte,tungstate_molybdate
