	metal	group_metal	protein_fam_metal	protein_fam
cobalt_g1	cobalt	cobalt_g1	cobalt CbiM family	CbiM family
cobalt_g2	cobalt	cobalt_g2	cobalt Cation transport ATPase (P-type) (TC 3.A.3) family, Type IB subfamily	Cation transport ATPase (P-type) (TC 3.A.3) family, Type IB subfamily
cobalt_g3	cobalt	cobalt_g3	cobalt CorA metal ion transporter (MIT) (TC 1.A.35) family	CorA metal ion transporter (MIT) (TC 1.A.35) family
cobalt_g4	cobalt	cobalt_g4	cobalt NRAMP family	NRAMP family
cobalt_g5	cobalt	cobalt_g5	cobalt ZIP transporter (TC 2.A.5) family, ZupT subfamily	ZIP transporter (TC 2.A.5) family, ZupT subfamily
cobalt_g6	cobalt	cobalt_g6	cobalt Bacterial solute-binding protein 5 family	Bacterial solute-binding protein 5 family
cobalt_g7	cobalt	cobalt_g7	cobalt ABC transporter superfamily	ABC transporter superfamily
cobalt_g8	cobalt	cobalt_g8	cobalt ABC transporter superfamily, Energy-coupling factor EcfA family	ABC transporter superfamily, Energy-coupling factor EcfA family
cobalt_g9	cobalt	cobalt_g9	cobalt NiCoT transporter (TC 2.A.52) family, RcnA subfamily	NiCoT transporter (TC 2.A.52) family, RcnA subfamily
cobalt_g10	cobalt	cobalt_g10	cobalt ABC transporter superfamily, Cobalt importer (TC 3.A.1.18.1) family	ABC transporter superfamily, Cobalt importer (TC 3.A.1.18.1) family
cobalt_g11	cobalt	cobalt_g11	cobalt Binding-protein-dependent transport system permease family	Binding-protein-dependent transport system permease family
cobalt_g12	cobalt	cobalt_g12	cobalt CbiM family; CbiQ family	CbiM family; CbiQ family
cobalt_g13	cobalt	cobalt_g13	cobalt CbiQ family	CbiQ family
cobalt_g14	cobalt	cobalt_g14	cobalt Cation diffusion facilitator (CDF) transporter (TC 2.A.4) family, SLC30A subfamily	Cation diffusion facilitator (CDF) transporter (TC 2.A.4) family, SLC30A subfamily
cobalt_g15	cobalt	cobalt_g15	cobalt CbiN family	CbiN family
cobalt_g16	cobalt	cobalt_g16	cobalt NiCoT transporter (TC 2.A.52) family	NiCoT transporter (TC 2.A.52) family
iron_g1	iron	iron_g1	iron Mycobacterial porin (TC 1.B.24) family	Mycobacterial porin (TC 1.B.24) family
iron_g2	iron	iron_g2	iron TonB family	TonB family
iron_g3	iron	iron_g3	iron Outer membrane factor (OMF) (TC 1.B.17) family	Outer membrane factor (OMF) (TC 1.B.17) family
iron_g4	iron	iron_g4	iron TonB-dependent receptor family	TonB-dependent receptor family
iron_g5	iron	iron_g5	iron Binding-protein-dependent transport system permease family, FecCD subfamily	Binding-protein-dependent transport system permease family, FecCD subfamily
iron_g6	iron	iron_g6	iron ABC transporter superfamily, Iron (Fe3+)-hydroxamate importer (TC 3.A.1.14.7) family	ABC transporter superfamily, Iron (Fe3+)-hydroxamate importer (TC 3.A.1.14.7) family
iron_g7	iron	iron_g7	iron Bacterial solute-binding protein 8 family	Bacterial solute-binding protein 8 family
iron_g8	iron	iron_g8	iron NRAMP family	NRAMP family
iron_g9	iron	iron_g9	iron ZIP transporter (TC 2.A.5) family, ZupT subfamily	ZIP transporter (TC 2.A.5) family, ZupT subfamily
iron_g10	iron	iron_g10	iron Ferritin family, Prokaryotic subfamily	Ferritin family, Prokaryotic subfamily
iron_g11	iron	iron_g11	iron ABC transporter superfamily	ABC transporter superfamily
iron_g12	iron	iron_g12	iron Bacterioferritin family	Bacterioferritin family
iron_g13	iron	iron_g13	iron Fre/LuxG FAD/NAD(P) flavoprotein oxidoreductase family	Fre/LuxG FAD/NAD(P) flavoprotein oxidoreductase family
iron_g14	iron	iron_g14	iron Fes family	Fes family
iron_g15	iron	iron_g15	iron Bacterial solute-binding protein 5 family	Bacterial solute-binding protein 5 family
iron_g16	iron	iron_g16	iron DyP-type peroxidase family, EfeB subfamily	DyP-type peroxidase family, EfeB subfamily
iron_g17	iron	iron_g17	iron TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, FeoB GTPase (TC 9.A.8) family	TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily, FeoB GTPase (TC 9.A.8) family
iron_g18	iron	iron_g18	iron DyP-type peroxidase family	DyP-type peroxidase family
iron_g19	iron	iron_g19	iron Cation diffusion facilitator (CDF) transporter (TC 2.A.4) family, FieF subfamily	Cation diffusion facilitator (CDF) transporter (TC 2.A.4) family, FieF subfamily
iron_g20	iron	iron_g20	iron CcmE/CycJ family	CcmE/CycJ family
iron_g21	iron	iron_g21	iron Ferritin-like superfamily, Prokaryotic family	Ferritin-like superfamily, Prokaryotic family
iron_g22	iron	iron_g22	iron Ferritin-like superfamily, Bacterioferritin family	Ferritin-like superfamily, Bacterioferritin family
iron_g23	iron	iron_g23	iron ABC transporter superfamily, Siderophore-Fe(3+) uptake transporter (SIUT) (TC 3.A.1.21) family	ABC transporter superfamily, Siderophore-Fe(3+) uptake transporter (SIUT) (TC 3.A.1.21) family
